LEGEND:
- CBO: Coupling between objects
- DIT: Depth of inheritance tree
- LCOM: Lack of cohesien of methods
- NOC: Number of children
- RFC: Response of class
- WMC: Weighted method complexity
+---------------------------------------------------------------------+------+-----+------+-----+-----+-------+
|                                Class                                | CBO  | DIT | LCOM | NOC | RFC |  WMC  |
+---------------------------------------------------------------------+------+-----+------+-----+-----+-------+
|                   com.example.demo.AboutController                  | 9.0  | 1.0 | 2.0  | 0.0 |  28 |  11.0 |
|                    com.example.demo.AboutManager                    | 18.0 | 1.0 | 1.0  | 0.0 |  28 |  7.0  |
|                  com.example.demo.AboutManagerTest                  | 8.0  | 3.0 | 2.0  | 0.0 |  38 |  3.0  |
|                com.example.demo.BankerPanelController               | 9.0  | 1.0 | 4.0  | 0.0 |  86 |  28.0 |
|                 com.example.demo.BankerPanelManager                 | 21.0 | 1.0 | 1.0  | 0.0 |  76 |  26.0 |
|               com.example.demo.BankerPanelManagerTest               | 7.0  | 3.0 | 2.0  | 0.0 |  36 |  3.0  |
|                com.example.demo.ClientLoansController               | 10.0 | 1.0 | 1.0  | 0.0 |  65 |  15.0 |
|                 com.example.demo.ClientLoansManager                 | 12.0 | 1.0 | 1.0  | 0.0 |  47 |  10.0 |
|                    com.example.demo.ClientsModel                    | 5.0  | 1.0 | 5.0  | 0.0 |  17 |  11.0 |
|                 com.example.demo.ComplaintController                | 6.0  | 1.0 | 1.0  | 0.0 |  41 |  8.0  |
|                  com.example.demo.ComplaintManager                  | 7.0  | 1.0 | 1.0  | 0.0 |  31 |  6.0  |
|                com.example.demo.ComplaintManagerTest                | 8.0  | 3.0 | 2.0  | 0.0 |  47 |  4.0  |
|                com.example.demo.EditProfileController               | 4.0  | 1.0 | 8.0  | 0.0 |  15 |  10.0 |
|                 com.example.demo.EditProfileManager                 | 19.0 | 1.0 | 1.0  | 0.0 |  38 |  13.0 |
|               com.example.demo.EditProfileManagerTest               | 9.0  | 3.0 | 2.0  | 0.0 |  50 |  8.0  |
|                  com.example.demo.FLAG_DOCUMENT_10                  | 1.0  | nan | 3.0  | nan |  6  |  3.0  |
|                  com.example.demo.FLAG_DOCUMENT_11                  | 1.0  | nan | 3.0  | nan |  6  |  3.0  |
|                  com.example.demo.FLAG_DOCUMENT_12                  | 1.0  | nan | 3.0  | nan |  6  |  3.0  |
|                  com.example.demo.FLAG_DOCUMENT_13                  | 1.0  | nan | 3.0  | nan |  6  |  3.0  |
|                  com.example.demo.FLAG_DOCUMENT_14                  | 1.0  | nan | 3.0  | nan |  6  |  3.0  |
|                  com.example.demo.FLAG_DOCUMENT_15                  | 1.0  | nan | 3.0  | nan |  6  |  3.0  |
|                  com.example.demo.FLAG_DOCUMENT_16                  | 1.0  | nan | 3.0  | nan |  6  |  3.0  |
|                  com.example.demo.FLAG_DOCUMENT_17                  | 1.0  | nan | 3.0  | nan |  6  |  3.0  |
|                  com.example.demo.FLAG_DOCUMENT_18                  | 1.0  | nan | 3.0  | nan |  6  |  3.0  |
|                  com.example.demo.FLAG_DOCUMENT_19                  | 1.0  | nan | 3.0  | nan |  6  |  3.0  |
|                   com.example.demo.FLAG_DOCUMENT_2                  | 1.0  | nan | 3.0  | nan |  6  |  3.0  |
|                  com.example.demo.FLAG_DOCUMENT_20                  | 1.0  | nan | 3.0  | nan |  6  |  3.0  |
|                  com.example.demo.FLAG_DOCUMENT_21                  | 1.0  | nan | 3.0  | nan |  6  |  3.0  |
|                   com.example.demo.FLAG_DOCUMENT_3                  | 1.0  | nan | 3.0  | nan |  6  |  3.0  |
|                   com.example.demo.FLAG_DOCUMENT_4                  | 1.0  | nan | 3.0  | nan |  6  |  3.0  |
|                   com.example.demo.FLAG_DOCUMENT_5                  | 1.0  | nan | 3.0  | nan |  6  |  3.0  |
|                   com.example.demo.FLAG_DOCUMENT_6                  | 1.0  | nan | 3.0  | nan |  6  |  3.0  |
|                   com.example.demo.FLAG_DOCUMENT_7                  | 1.0  | nan | 3.0  | nan |  6  |  3.0  |
|                   com.example.demo.FLAG_DOCUMENT_8                  | 1.0  | nan | 3.0  | nan |  6  |  3.0  |
|                   com.example.demo.FLAG_DOCUMENT_9                  | 1.0  | nan | 3.0  | nan |  6  |  3.0  |
|                     com.example.demo.FLAG_EMAIL                     | 1.0  | nan | 3.0  | nan |  6  |  3.0  |
|                   com.example.demo.FLAG_EMP_PHONE                   | 1.0  | nan | 3.0  | nan |  6  |  3.0  |
|                     com.example.demo.FLAG_MOBIL                     | 1.0  | nan | 3.0  | nan |  6  |  3.0  |
|                    com.example.demo.FLAG_OWN_CAR                    | 1.0  | nan | 3.0  | nan |  6  |  3.0  |
|                   com.example.demo.FLAG_OWN_REALTY                  | 1.0  | nan | 3.0  | nan |  6  |  3.0  |
|                     com.example.demo.FLAG_PHONE                     | 0.0  | nan | 3.0  | nan |  6  |  3.0  |
|                   com.example.demo.FLAG_WORK_PHONE                  | 0.0  | nan | 3.0  | nan |  6  |  3.0  |
|              com.example.demo.ForgotPasswordController              | 1.0  | 1.0 | 1.0  | 0.0 |  19 |  5.0  |
|                com.example.demo.ForgotPasswordManager               | 6.0  | 1.0 | 1.0  | 0.0 |  41 |  11.0 |
|                     com.example.demo.FormAdapter                    | 38.0 | 1.0 | 2.0  | 0.0 |  78 | 165.0 |
|                       com.example.demo.GENDER                       | 1.0  | nan | 3.0  | nan |  6  |  3.0  |
|                com.example.demo.InspectLoanController               | 9.0  | 1.0 | 1.0  | 0.0 |  23 |  26.0 |
|                 com.example.demo.InspectLoanManager                 | 7.0  | 1.0 | 1.0  | 0.0 |  25 |  7.0  |
|                      com.example.demo.Launcher                      | 1.0  | 1.0 | 1.0  | 0.0 |  2  |  1.0  |
