LEGEND:
- OCavg: Average operation complexity
- OCmax: Maximum operation complexity
- OCmax: Weighted operation complexity
- v(G)avg: Average cyclomatic complexity
- v(G)tot: Total cyclomatic complexity 

+---------------------------------------------------------------------+-------+-------+-----+
|                                Class                                | OCavg | OCmax | WMC |
+---------------------------------------------------------------------+-------+-------+-----+
|                   com.example.demo.AboutController                  |  1.1  |   2   |  11 |
|                    com.example.demo.AboutManager                    |  1.75 |   4   |  7  |
|                  com.example.demo.AboutManagerTest                  |  1.0  |   1   |  3  |
|                com.example.demo.BankerPanelController               |  1.27 |   4   |  28 |
|                 com.example.demo.BankerPanelManager                 |  2.36 |   9   |  26 |
|               com.example.demo.BankerPanelManagerTest               |  1.0  |   1   |  3  |
|                com.example.demo.ClientLoansController               |  1.36 |   4   |  15 |
|                 com.example.demo.ClientLoansManager                 |  1.25 |   3   |  10 |
|                    com.example.demo.ClientsModel                    |  1.0  |   1   |  11 |
|                 com.example.demo.ComplaintController                |  1.14 |   2   |  8  |
|                  com.example.demo.ComplaintManager                  |  1.0  |   1   |  6  |
|                com.example.demo.ComplaintManagerTest                |  1.0  |   1   |  4  |
|                com.example.demo.EditProfileController               |  1.11 |   2   |  10 |
|                 com.example.demo.EditProfileManager                 |  2.17 |   4   |  13 |
|               com.example.demo.EditProfileManagerTest               |  2.0  |   5   |  8  |
|                  com.example.demo.FLAG_DOCUMENT_10                  |  1.0  |   1   |  3  |
|                  com.example.demo.FLAG_DOCUMENT_11                  |  1.0  |   1   |  3  |
|                  com.example.demo.FLAG_DOCUMENT_12                  |  1.0  |   1   |  3  |
|                  com.example.demo.FLAG_DOCUMENT_13                  |  1.0  |   1   |  3  |
|                  com.example.demo.FLAG_DOCUMENT_14                  |  1.0  |   1   |  3  |
|                  com.example.demo.FLAG_DOCUMENT_15                  |  1.0  |   1   |  3  |
|                  com.example.demo.FLAG_DOCUMENT_16                  |  1.0  |   1   |  3  |
|                  com.example.demo.FLAG_DOCUMENT_17                  |  1.0  |   1   |  3  |
|                  com.example.demo.FLAG_DOCUMENT_18                  |  1.0  |   1   |  3  |
|                  com.example.demo.FLAG_DOCUMENT_19                  |  1.0  |   1   |  3  |
|                   com.example.demo.FLAG_DOCUMENT_2                  |  1.0  |   1   |  3  |
|                  com.example.demo.FLAG_DOCUMENT_20                  |  1.0  |   1   |  3  |
|                  com.example.demo.FLAG_DOCUMENT_21                  |  1.0  |   1   |  3  |
|                   com.example.demo.FLAG_DOCUMENT_3                  |  1.0  |   1   |  3  |
|                   com.example.demo.FLAG_DOCUMENT_4                  |  1.0  |   1   |  3  |
|                   com.example.demo.FLAG_DOCUMENT_5                  |  1.0  |   1   |  3  |
|                   com.example.demo.FLAG_DOCUMENT_6                  |  1.0  |   1   |  3  |
|                   com.example.demo.FLAG_DOCUMENT_7                  |  1.0  |   1   |  3  |
|                   com.example.demo.FLAG_DOCUMENT_8                  |  1.0  |   1   |  3  |
|                   com.example.demo.FLAG_DOCUMENT_9                  |  1.0  |   1   |  3  |
|                     com.example.demo.FLAG_EMAIL                     |  1.0  |   1   |  3  |
|                   com.example.demo.FLAG_EMP_PHONE                   |  1.0  |   1   |  3  |
|                     com.example.demo.FLAG_MOBIL                     |  1.0  |   1   |  3  |
|                    com.example.demo.FLAG_OWN_CAR                    |  1.0  |   1   |  3  |
|                   com.example.demo.FLAG_OWN_REALTY                  |  1.0  |   1   |  3  |
|                     com.example.demo.FLAG_PHONE                     |  1.0  |   1   |  3  |
|                   com.example.demo.FLAG_WORK_PHONE                  |  1.0  |   1   |  3  |
|              com.example.demo.ForgotPasswordController              |  1.67 |   3   |  5  |
|                com.example.demo.ForgotPasswordManager               |  1.83 |   5   |  11 |
